name,year,age_miles,price,id
Toyota Corolla,2020,36709,"$20,500",141
Toyota Camry,2019,122813,"$16,990",142
Toyota Tundra,2017,195819,"$20,998",143
Toyota Corolla,2020,62465,"$18,999",144
Toyota Camry,2015,103241,"$13,997",145
Toyota Camry,2019,98572,"$16,999",146
Toyota Camry,2018,35816,"$19,500",147
Toyota Corolla,2022,10966,"$19,694",148
Toyota Camry,2021,49732,"$21,397",149
Toyota Corolla,2020,30062,"$19,495",150
Toyota Corolla,2021,1722,"$21,512",151
Toyota Camry,2020,57625,"$22,490",152
Toyota Camry,2020,60616,"$16,786",153
Toyota Corolla,2020,46892,"$17,395",154
Toyota Corolla,2020,60284,"$17,498",155
Toyota Corolla,2022,33678,"$18,895",156
Toyota Camry,2021,42748,"$19,950",157
Toyota Camry,2020,35877,"$22,725",158
Toyota Camry,2009,162628,"$5,800",159
Toyota Camry,2021,72221,"$21,000",160
Toyota Prius,2010,133255,"$10,300",161
Toyota Corolla,2020,37034,"$19,485",162
Toyota Corolla,2020,61709,"$17,495",163
Toyota RAV4,2020,115009,"$21,289",164
Toyota Corolla,2021,44051,"$17,990",165
Toyota RAV4,2020,61844,"$19,999",166
Toyota Corolla,2020,63837,"$19,420",167
Toyota Corolla,2021,12867,"$21,378",168
Toyota Camry,2020,39253,"$22,105",169
Toyota Camry,2020,38591,"$23,658",170
Toyota Corolla,2021,41623,"$18,641",171
Toyota Corolla,2021,37682,"$23,992",172
Toyota Corolla,2020,63869,"$18,500",173
Toyota Corolla,2021,43108,"$19,100",174
Toyota Corolla,2020,12854,"$18,527",175
Toyota Corolla,2021,37557,"$18,099",176
Toyota Corolla,2020,42369,"$19,675",177
Toyota Camry,2020,64488,"$21,990",178
Toyota Corolla,2022,9550,"$19,878",179
Toyota Corolla,2021,51972,"$17,298",180
Toyota Corolla,2020,58077,"$18,990",181
Toyota Camry,2018,83278,"$15,900",182
Toyota Camry,2019,33897,"$21,957",183
Toyota Corolla,2020,49950,"$20,500",184
Toyota Highlander,2021,38726,"$36,999",185
Toyota Corolla,2020,50023,"$17,897",186
Toyota Camry,2018,83781,"$17,995",187
Toyota Corolla,2019,38417,"$16,495",188
Toyota Corolla,2021,64423,"$18,900",189
Toyota Camry,2021,36974,"$22,999",190
Toyota Corolla,2020,16791,"$20,204",191
Toyota Corolla,2020,65628,"$18,790",192
Toyota Prius,2013,97627,"$11,991",193
Toyota Corolla,2020,69277,"$18,477",194
Toyota Camry,2016,120138,"$10,992",195
Toyota Corolla,2020,76113,"$17,607",196
Toyota RAV4,2018,82936,"$17,995",197
Toyota Corolla,2021,55052,"$19,402",198
Toyota Highlander,2019,35861,"$31,799",199
Toyota Camry,2019,54833,"$20,575",200
Toyota Corolla,2020,28264,"$18,995",201
Toyota RAV4,2019,28765,"$27,125",202
Toyota Camry,2019,79680,"$14,786",203
Toyota Highlander,2019,38478,"$31,888",204
Toyota Corolla,2017,69000,"$15,000",205
Toyota Camry,2019,34090,"$22,839",206
Toyota Camry,2020,44585,"$19,281",207
Toyota Corolla,2020,43422,"$20,140",208
Toyota Prius,2013,175810,"$10,550",209
Toyota Corolla,2020,78363,"$17,391",210
Toyota Corolla,2020,65233,"$17,761",211
Toyota Corolla,2020,61420,"$18,590",212
Toyota Corolla,2021,40915,"$18,297",213
Toyota Camry,2019,10205,"$24,990",214
Toyota Camry,2020,66435,"$18,497",215
Toyota Prius,2010,162296,"$7,250",216
Toyota Corolla,2020,60687,"$16,274",217
Toyota Corolla,2020,53659,"$19,849",218
Toyota Tacoma,2021,41927,"$37,993",219
Toyota Camry,2020,58240,"$22,500",220
Toyota Corolla iM,2018,40290,"$15,995",221
Toyota Venza,2009,118019,"$9,000",222
Toyota Corolla,2020,51171,"$17,597",223
Toyota Camry,2019,110800,"$16,990",224
Toyota Corolla,2020,23062,"$20,998",225
Toyota Corolla,2021,40072,"$18,963",226
Toyota Corolla,2020,113089,"$15,981",227
Toyota Corolla,2020,24318,"$19,425",228
Toyota Corolla,2020,61685,"$18,890",229
Toyota Corolla,2020,22958,"$19,955",230
Toyota Camry,2020,66149,"$18,999",231
Toyota Corolla,2020,59040,"$18,888",232
Toyota Camry,2020,11181,"$23,990",233
Toyota Corolla,2021,52895,"$17,111",234
Toyota Camry,2014,61492,"$15,350",235
Toyota Camry,2018,54681,"$19,990",236
Toyota Corolla,2022,4901,"$21,988",237
Toyota Corolla,2020,64882,"$17,365",238
Toyota Corolla,2020,21744,"$21,295",239
Toyota Corolla,2020,24415,"$21,998",240
Toyota Prius,2015,138814,"$13,690",241
Toyota Corolla,2021,49935,"$18,896",242
Toyota Camry,2020,51662,"$23,555",243
Toyota Corolla,2021,32707,"$20,999",244
Toyota Prius,2013,147119,"$10,999",245
Toyota Camry,2021,22371,"$22,399",246
Toyota Camry,2019,67115,"$21,888",247
Toyota Prius,2010,184900,"$7,799",248
Toyota Camry,2020,46410,"$23,194",249
Toyota Corolla,2021,40332,"$18,297",250
Toyota Corolla,2020,61902,"$18,500",251
Toyota Corolla,2020,59415,"$19,790",252
Toyota Highlander,2019,29604,"$31,990",253
Toyota Corolla,2020,18930,"$18,995",254
Toyota Corolla,2019,62759,"$14,498",255
Toyota Corolla,2020,57740,"$19,998",256
Toyota Corolla,2016,91179,"$10,995",257
Toyota Camry,2020,66966,"$21,500",258
Toyota Corolla,2022,26862,"$18,990",259
Toyota Camry,2017,63281,"$18,750",260
Toyota Corolla,2021,14895,"$20,158",261
Toyota Corolla,2016,116645,"$10,995",262
Toyota Corolla,2021,32835,"$20,191",263
Toyota Corolla,2020,23257,"$20,875",264
Toyota Camry,2011,170801,"$7,299",265
Toyota Corolla,2021,52622,"$20,998",266
Toyota Camry,2020,64032,"$22,300",267
Toyota Corolla,2021,24468,"$21,998",268
Toyota Corolla,2020,93367,"$17,229",269
Toyota Corolla,2020,61968,"$18,098",270
Toyota Camry,2022,3969,"$24,800",271
Toyota Corolla,2020,24506,"$19,988",272
Toyota RAV4,2021,41019,"$22,779",273
Toyota Corolla,2020,68526,"$18,977",274
Toyota Corolla,2021,48253,"$18,977",275
Toyota Corolla,2021,41376,"$17,998",276
Toyota Corolla,2017,125687,"$14,998",277
Toyota Camry,2020,85372,"$20,651",278
Toyota Camry,2020,69327,"$21,000",279
Toyota RAV4,2018,30500,"$18,894",280
Toyota Corolla,2020,60109,"$15,888",281
Toyota Camry,2019,34756,"$19,944",282
Toyota Corolla,2020,60848,"$17,988",283
Toyota Highlander,2019,29876,"$32,549",284
Toyota Prius,2017,212565,"$12,699",285
Toyota Camry,2019,53811,"$21,900",286
Toyota Corolla,2020,61426,"$16,498",287
Toyota Camry,2021,28885,"$23,222",288
Toyota Corolla,2020,39942,"$17,995",289
Toyota Corolla,2020,80280,"$17,499",290
Toyota Corolla,2020,34831,"$20,395",291
Toyota Corolla,2020,53124,"$18,000",292
Toyota Prius Prime,2017,186382,"$13,995",293
Toyota Corolla,2020,67010,"$17,195",294
Toyota Camry,2020,62731,"$20,988",295
Toyota RAV4,2020,55930,"$25,990",296
Toyota Camry,2019,58675,"$24,499",297
Toyota Corolla,2021,16785,"$19,225",298
Toyota Corolla,2021,40627,"$20,679",299
Toyota Camry,2020,63748,"$20,498",300
Toyota Camry,2019,31940,"$27,336",301
Toyota Tacoma,2019,48526,"$33,999",302
Toyota RAV4,2020,69071,"$22,472",303
